Name,Platform,Critic_Score,User_Score
LittleBigPlanet,PS3,9.4,9.2
Riven: The Sequel to Myst,PC,,
StarCraft II: Wings of Liberty,PC,9.3,
Warcraft III: Reign of Chaos,PC,9.3,
Pitfall!,2600,,
Professor Layton and the Curious Village,DS,8.7,
Madden NFL 07,PS2,8.5,
Spider-Man: The Movie,PS2,8.2,
The Elder Scrolls IV: Oblivion,X360,9.2,
The Legend of Zelda: The Wind Waker,GC,9.6,
Tony Hawk's Pro Skater 3,PS2,9.1,
Winning Eleven: Pro Evolution Soccer 2007,PS2,8.8,
The Legend of Zelda: Link's Awakening,NS,8.7,8.4
Zelda II: The Adventure of Link,NES,,
Michael Jackson: The Experience,Wii,5.6,
Tom Clancy's The Division,PS4,8,7
Need for Speed: Most Wanted,PS2,8.6,
Resistance: Fall of Man,PS3,8.5,9.1
Tom Clancy's Rainbow Six: Siege,PS4,,
Call of Duty: Advanced Warfare,X360,9.1,
Watch Dogs,PS4,8,6.4
Animal Crossing: City Folk,Wii,7.1,8.8
Starbound,PC,8.1,7.1
Asteroids,2600,7.6,7.8
Dragon Quest VII,PS,8,3
Monster Hunter Generations,3DS,8.8,8
The Witcher 3: Wild Hunt,XOne,9.1,9.2
Batman: Arkham Asylum,PS3,9,
Call of Duty: Advanced Warfare,PS3,9.1,
God of War II,PS2,9.3,9.8
Namco Museum,GBA,8.5,
Daxter,PSP,8.6,
Super Paper Mario,Wii,8.5,
Assassin's Creed: Revelations,PS3,8.8,
Metal Gear Solid 3: Snake Eater,PS2,9,
Assassin's Creed: Revelations,X360,7.9,
FIFA Soccer 06,PS2,8.4,
Counter-Strike,PC,8.9,
Monster Hunter 4 Ultimate,3DS,8.8,8.6
Mortal Kombat 11,PS4,8.2,3.6
Street Fighter IV,PS3,9.3,9
7 Days to Die,PC,,
FIFA Soccer 12,X360,9.2,
Call of Duty: Ghosts,PS4,7.5,3.8
Teenage Mutant Ninja Turtles,NES,5.9,
Just Cause 2,PC,8.2,
Excitebike,NES,8.4,
Frogger,PS,2,
Star Wars Battlefront (2015),XOne,6.9,
FIFA 14,X360,9.1,
Madden NFL 2003,PS2,9.4,
Assassin's Creed: Unity,PS4,,
Destiny 2,PS4,8.5,4.9
Super Mario World 2: Yoshi's Island,SNES,9,
Batman: Arkham Knight,PS4,8.1,7.8
FIFA 07 Soccer,PS2,8.4,
The Sims 4,PC,7,4
Monster Hunter 4,3DS,,
Street Fighter II Turbo,SNES,9,
Fallout: New Vegas,X360,8.2,
The Legend of Zelda: A Link Between Worlds,3DS,9.3,9
Assassin's Creed Origins,PS4,8.1,7.2
Far Cry 4,PS4,8.4,7.7
Carnival Games,Wii,4.2,
World Soccer Winning Eleven 9,PS2,8.9,
Forza Motorsport 2,X360,9.1,
Namco Museum Vol.3,PS,,
Tekken Tag Tournament,PS2,8.7,
Golf,NES,,
Super Mario Maker,WiiU,8.8,8.7
Arma III,PC,,
Diablo II,PC,8.8,
Disney's Aladdin,GEN,,
EyeToy Play,PS2,7.5,
Just Dance,Wii,5.4,
Monster Hunter: World,PS4,9.3,9
Star Fox 64,N64,9,
The Last of Us: Part II,PS4,9.4,5.6
World of Warcraft: Wrath of the Lich King,PC,9.3,9.3
Fallout 3,PS3,8.8,
The Legend of Zelda: Oracle of Ages / Seasons,GBC,,
The Elder Scrolls V: Skyrim,PC,9.2,8.2
Namco Museum: 50th Anniversary,PS2,5,
NBA 2K16,PS4,8.7,6.7
Left 4 Dead 2,X360,9,
Far Cry 5,PS4,7.9,6.8
Battlefield 4,PS4,8.3,7
Assassin's Creed IV: Black Flag,PS3,8.7,
EA Sports Active,Wii,8.3,
Half-Life 2: Episode One,PC,8.7,
Donkey Kong Land,GB,,
English Training: Have Fun Improving Your Skills!,DS,,
Dragon Quest III,NES,,8
Tony Hawk's Underground,PS2,8.7,
Just Dance 2014,Wii,7.4,
Professor Layton and the Diabolical Box,DS,8.5,
Sports Champions,PS3,7.6,
World Soccer Winning Eleven 8 International,PS2,9.3,
Namco Museum Vol.1,PS,,
The Legend of Zelda: Link's Awakening,GB,,
Resident Evil VII: Biohazard,PS4,8.6,
Monster Hunter Freedom Unite,PSP,7.7,9.7
Madden NFL 20,PS4,7.6,1.5
Gran Turismo Sport,PS4,7.5,6
LEGO Indiana Jones: The Original Adventures,X360,7.5,
The Sims: Unleashed,PC,7.3,
Tomodachi Collection,DS,,
Ratchet & Clank: Size Matters,PSP,8.5,
Harry Potter and the Sorcerer's Stone,PS,8,
Pokemon Trading Card Game,GB,8.3,
FIFA 17,XOne,8.8,5.1
Spyro: Year of the Dragon,PS,9.1,
FIFA Soccer 2005,PS2,8.4,
Diablo III: Reaper of Souls,PC,8.7,6.6
The Legend of Zelda: Skyward Sword,Wii,9.4,
Tony Hawk's Pro Skater 4,PS2,9.6,
Midnight Club 3: DUB Edition,PSP,7.2,
MySims,DS,6.7,
Banjo-Kazooie,N64,9.3,9.4
SOCOM: U.S. Navy SEALs,PS2,8,
Battlefield 4,PS3,8.7,
Jak and Daxter: The Precursor Legacy,PS2,9,8.9
Pokemon Snap,N64,7.9,
Pro Evolution Soccer 2008,PS2,8.2,
FIFA Soccer 10,PS3,9,
Guitar Hero: World Tour,Wii,8.4,
Gears of War: Ultimate Edition,XOne,8.2,7.6
Star Wars Battlefront,PS2,8.1,
Doom II,PC,9.3,
The Simpsons: Road Rage,PS2,6.1,
BattleBlock Theater,PC,8.5,7.9
Assassin's Creed Syndicate,PS4,8.6,6.9
Star Wars Battlefront II,PS2,8.5,
Assassin's Creed: Unity,XOne,,
Cooking Mama 2: Dinner With Friends,DS,6.9,
Undertale,PC,9.2,8.3
WWF SmackDown!,PS,,
Croc: Legend of the Gobbos,PS,7.6,
Battlefield 4,X360,8.7,
Grand Theft Auto: Liberty City Stories,PS2,8.3,
The Getaway,PS2,7.7,
Tomb Raider III: Adventures of Lara Croft,PS,8.2,
Batman: Arkham Asylum,X360,9.1,
Assassin's Creed: Brotherhood,X360,9.1,
James Bond 007: Agent Under Fire,PS2,7.9,
LEGO Star Wars: The Video Game,PS2,7.9,
Resident Evil 5,X360,8.6,
Rugrats in Paris: The Movie,PS,,
NBA 2K17,PS4,9,6.4
FIFA Soccer 11,X360,8.7,
Spyro 2: Ripto's Rage!,PS,8.7,
Left 4 Dead,X360,8.7,9
Donkey Kong Country 3: Dixie Kong's Double Trouble!,SNES,8.8,
Fable II,X360,9,9.3
Final Fantasy VII Remake,PS4,8.7,8.1
Kung Fu,NES,,
Resident Evil 3: Nemesis,PS,9.4,
World of Warcraft: The Burning Crusade,PC,9.2,
FIFA Soccer 2004,PS2,8,
Pokemon Mystery Dungeon: Blue Rescue Team,DS,6.3,
Mortal Kombat X,PS4,8.3,7.8
Battlefield: Bad Company 2,X360,9,9.3
Borderlands,X360,8.3,
Mario & Sonic at the Olympic Winter Games,DS,7.6,
Dying Light,PC,7.5,7.9
Guitar Hero: On Tour,DS,7.1,8.1
Dragon Ball Z: Budokai,PS2,,
Halo: The Master Chief Collection,XOne,8.5,7.4
LEGO Batman: The Videogame,X360,7.5,
Tekken 4,PS2,7.9,
FIFA 14,PS4,9.1,6.3
Animal Crossing: Happy Home Designer,3DS,6.6,6.9
LittleBigPlanet 2,PS3,9.1,
Grand Theft Auto 2,PS,6.9,
Destiny,XOne,8.3,5.5
Spider-Man 2,PS2,7.9,
F-1 Race,GB,7,
Super Mario Maker,3DS,7.3,
World of Warcraft: Battle for Azeroth,PC,7.9,3.1
FIFA Soccer 2003,PS2,8.3,
Crash Bash,PS,6.8,
Gears of War 4,XOne,8.4,6.9
Tekken: Dark Resurrection,PSP,8.7,
The Elder Scrolls V: Skyrim Special Edition,PS4,8.3,7.1
Watch Dogs 2,PS4,8.2,7.7
The Legend of Zelda: Majora's Mask,N64,9.3,
WWF War Zone,PS,,
Yoshi's Island DS,DS,8.2,
Assassin's Creed IV: Black Flag,X360,8.5,
NBA 2K18,PS4,8.1,1.7
Big Brain Academy: Wii Degree,Wii,7.1,
Rugrats: Search For Reptar,PS,,
Luigi's Mansion,GC,7.9,
James Bond 007: Nightfire,PS2,,
Ratchet & Clank,PS2,,
Star Wars Episode III: Revenge of the Sith,PS2,,
Max Payne,PS2,8.1,
Madden NFL 16,PS4,8.2,5.9
World of Warcraft: Legion,PC,8.8,7.3
World of Warcraft: Warlords of Draenor,PC,8.7,5.9
Dark Souls III,PC,8.9,8.4
Dark Souls: Prepare to Die Edition,PC,8.5,7.6
The Lord of the Rings: The Return of the King,PS2,8.4,
Half-Life 2: Episode Two,PC,9.1,
Madden NFL 17,PS4,8.5,4.4
True Crime: Streets of LA,PS2,,
Gran Turismo (PSP),PSP,,
Far Cry 3,PS3,,
God of War: Chains of Olympus,PSP,8.9,9.5
FIFA 16,XOne,8.5,4.4
Tekken,PS,8.3,
Flash Focus: Vision Training in Minutes a Day,DS,6.1,
007: Tomorrow Never Dies,PS,6.2,
L.A. Noire,PS3,9.1,
Baseball,NES,5.5,
Detroit: Become Human,PS4,8,8.6
Dragon Quest IV,NES,,
Dragon Quest VI: Maboroshi no Daichi,SNES,,
Killer Instinct,SNES,,
WWF SmackDown! 2: Know Your Role,PS,8.7,
Middle-Earth: Shadow of Mordor,PS4,,
Assassin's Creed IV: Black Flag,PS4,8.3,7.9
