Name,Platform,Critic_Score,User_Score
Barbie and The Three Musketeers,DS,,
Hitman 2: Silent Assassin,GC,8.3,
"Warhammer 40,000: Regicide",PC,7.2,7.7
"Linea, the Game",PC,,
Puyo Puyo!! 20th Anniversary,3DS,,
Ape Escape 3,PS2,7.8,
Digimon Racing,GBA,6,
Cucumber Blues,PC,,
"Crouching Tiger, Hidden Dragon",PS2,4.8,
Eat Lead: The Return of Matt Hazard,PS3,5.3,
Family Fortunes,Wii,,
Last Bronx,SAT,,
Bootombaa,PC,,
Dungreed,PC,,
Obduction,PC,7.6,7.7
Iridion II,GBA,7.9,
Momotaro Douchuuki,SAT,,
Watch Dogs,WiiU,6.2,6.5
Borderlands: Double Game Add-On Pack,X360,6.5,
My Baby: First Steps,Wii,,
Whiplash,PS2,7,
Steel Battalion: Heavy Armor,X360,3,
Star Wars: Lethal Alliance,PSP,6.3,
Runestone Keeper,PC,,
Street Fighter IV,PC,9.1,
Summon Night: Twin Age,DS,7.3,
Cataegis : The White Wind,PC,,
Golf Club 2,PS4,,
Rango: The Video Game,X360,,
NBA Live 16,XOne,6,5.6
Puppies 3D,3DS,,
Destroy All Humans! Path of the Furon,X360,4.1,
Margot's Word Brain,Wii,5,
Army Men: Soldiers of Misfortune,Wii,2.5,
Spider-Man: Battle for New York,DS,,
Pop'n Music Portable,PSP,,
SoulCalibur II (JP weekly data),PS2,,
Otogi: Myth of Demons,XB,8.3,
Victorious: Time to Shine,X360,,
Alter Echo,PS2,6.8,
Deepak Chopra's Leela,X360,,
Walt Disney Pictures Presents: The Wild,GBA,,
Deception IV: Blood Ties,PS3,,
DreamWorks Super Star Kartz,DS,,
Puzzle de Harvest Moon,DS,,
Hero of the Kingdom,PC,,
Metal Max 3,DS,,
Rock Band Track Pack Volume 1,PS2,,
Fat Princess: Fistful of Cake,PSP,7,
WipeOut 3 The Game,WiiU,,
Namco Soccer Prime Goal,PS,,
Persona Dancing: Endless Night Collection,PS4,7.5,6.9
Spaceport Hope,PC,,
Ikaruga,PC,,
NBA 08,PS2,,
Rock Band Track Pack Volume 2,PS3,,
Goosebumps: The Game,NS,,
Monster Hunter Frontier Online,X360,,
Tom Clancy's Splinter Cell: Double Agent,Wii,,
Akiba's Trip: Undead & Undressed,PS4,5.7,6.9
NASCAR Heat 3,PS4,6.4,5.4
Shin Megami Tensei: Digital Devil Saga,PS2,7.6,
Of Orcs and Men,PC,6.9,6.7
The Price Is Right 2010 Edition,DS,,
Jissen Pachi-Slot Hisshouhou! Aladdin II Evolution,PS2,,
Cabela's Dangerous Hunts 2009,PS3,5.2,
Dungeons 3,PC,7.5,7.7
Green Lantern: Rise of the Manhunters,X360,6,
Mystic Ark,SNES,,
Rugby 15,PS4,,
The Turing Test,PC,7.4,6.8
Ty the Tasmanian Tiger 2: Bush Rescue,GBA,,
Paw Patrol on a Roll,NS,,
Teenage Mutant Ninja Turtles 2: Battle Nexus,XB,6,
007 Legends,WiiU,4.2,
LEGO Racers 2,PS2,6,
Onechanbara: Bikini Samurai Squad,X360,3,
Backyard Baseball,GC,,
Outlast Trinity,XOne,,
Top Shot Arcade,Wii,,
Super Cuber,PC,,
The Misadventures of P.B. Winterbottom,PC,8.1,
Sega GT,DC,7.8,
SBK 2011: FIM Superbike World Championship,PS3,,
Legends of Wrestling,GC,5.4,
Startup Company,PC,,
Omega One,PC,,
Gunstar Heroes,GEN,,
All-Star Baseball 2004,XB,8,
Dokapon Kingdom,Wii,7.2,
Tamagotchi no Pichi Pichi Omisecchi,DS,,
The Deed,PC,,
Soccer Tsuku: Pro Soccer Club o Tsukurou!,PS3,,
Pokemon: For Ho-Oh the Bells Toll!: Game Boy Advance Video,GBA,,
Portal Runner,PS2,6.7,
The X-Factor,PS3,,
Sonic Mania,XOne,8.3,8.2
Warriors Orochi 2,PS2,4.3,
DeadCore,PC,7.8,6.8
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,PS2,,
Assault: Retribution,PS,5.5,
Smart Boy's Gameroom,DS,7.2,
Sengoku Basara 3 Utage,Wii,,
Space Bust-A-Move,DS,7.8,
Spartan: Total Warrior,XB,7,
Asteroid Bounty Hunter,PC,,
City Crisis,PS2,4.8,
Zapper: One Wicked Cricket!,GC,6.6,
Mass Effect: Andromeda,PC,7.2,4.9
7 Wonders of the Ancient World,DS,6.5,
Star Wars: Clone Wars,XB,,
Twister Mania,X360,,
High Rollers Casino,XB,1,
Advent Rising,XB,7.8,
Corpse Party: Back to School Edition,3DS,,
NeverDead,PS3,3,
Surf Riders,PS,6.5,
Super House of Dead Ninjas,PC,8.3,
Torino 2006,PS2,4.4,
Utawarerumono: Mask of Truth,PS4,7.5,7.6
Nobunaga no Yabou: Ranseiki,PS2,,
Derby Stallion Advance,GBA,,
Monopoly Party,GC,7.3,
Snood,GBA,6.5,
TOCA Race Driver 2: Ultimate Racing Simulator,XB,,
Chessmaster: The Art of Learning,PSP,6.6,
Monster Jam: Urban Assault,PS2,5.5,
DT Racer,PS2,3.2,
Dynasty Warriors Gundam Reborn,PSV,,
Ultimate Marvel vs. Capcom 3,PC,,
Little Battlers eXperience: Wars,3DS,,
Assassin's Creed II: Deluxe Edition,PC,,
World Cup Golf: Professional Edition,PS,5,
Black Dawn,PS,7.5,
428: Fuusa Sareta Shibuya de,Wii,,
Classic NES Series: Dr. Mario,GBA,6.1,
Kelly Slater's Pro Surfer,GBA,8,
Beat Cop,PC,7.1,7.5
Warriors of Might and Magic,PS,5,
FlatOut 3: Chaos & Destruction,PC,2.3,3.2
Sid Meier's Ace Patrol: Pacific Skies,PC,,
Drome Racers,PS2,6.2,
Tom Clancy's Splinter Cell: Blacklist,WiiU,9.2,
Shin Megami Tensei: Devil Survivor 2 Record Breaker,3DS,8.4,3.9
Dynasty Warriors 5 Empires,X360,6.4,
X-Men: Next Dimension,GC,7,
Thor: God of Thunder,DS,6.4,
Delver,PC,,
Everybody Dance,PS3,6.5,
Doukyuusei 2,SAT,,
Hour of Victory,X360,5.7,
SkullMonkeys,PS,,
Burnout,XB,7.6,
Deepak Chopra's Leela,Wii,,
Hand of Fate 2,PC,8,7.1
Jurassic: The Hunted,X360,6.5,
Gladiator Begins,PSP,6.5,
Baroque,PS2,5.4,
Etrian Odyssey 2 Untold: Knight of Fafnir,3DS,8,6
Battle Ranch: Pigs vs Plants,PC,,
Left Brain Right Brain 2,DS,,
Indianapolis 500 Legends,Wii,5.8,
The Legend of Heroes: Trails of Cold Steel III,PS4,7,
DJ Max Fever,PSP,7.7,
Shimano Xtreme Fishing,Wii,,
Little Dragons Caf??,NS,7,
Brothers in Arms: Double Time,Wii,4.6,
NBA Ballers: Phenom,XB,7.9,
The History Channel: Great Battles - Medieval,X360,,
Utawarerumono: Mask of Deception,PS4,6.8,7.2
Crash Tag Team Racing,XB,7.4,
Freedom Fighters,GC,8.8,
My Fitness Coach: Club,PS3,,
Mega Man X Collection,GC,7.5,
Shantae: Risky's Revenge Director's Cut,PC,,
Detana TwinBee Yahho! Deluxe Pack,SAT,,
Last Ranker,PSP,,
Quantum Redshift,XB,6.2,
Adventure Time: Finn & Jake Investigations,X360,,
Smash Court Tennis Pro Tournament 2,PS2,8,
Teenage Mutant Ninja Turtles: Arcade Attack,DS,4.3,
Farming Simulator 17,NS,,
Legends of Wrestling II,XB,6.8,
Power Pro Kun Pocket 13,DS,,
Armed and Dangerous,XB,,
Grand Theft Auto: San Andreas,XBL,,
The Inpatient,PS4,5.9,6.1
Rogue Port - Blue Nightmare,PC,,
Avatar: The Last Airbender - Into the Inferno,DS,,
World Soccer Winning Eleven 2002,PS,,
Actua Tennis,PS,,
NHL 2K7,PS3,8.2,
Killer is Dead,X360,5,
"Hack, Slash, Loot",PC,,
PriPara Mezase! Idol Grand Prix No.1!,3DS,,
Need for Speed: ProStreet,DS,,
Don Bradman Cricket 14,PS4,,
Record of Agarest War Zero,PS3,6.2,
Diner Dash: Sizzle & Serve,PSP,5.9,
The Jackbox Party Pack 4,PC,,
Monster Truck Madness,GBA,7.5,
MySims SkyHeroes,PS3,7,
Puella Magi Madoka Magica Portable,PSP,,
Sonic Jam,SAT,,
Peter Jacobsen's Golden Tee Golf,PS,,
Attempt[42],PC,,
Sword Art Online: Hollow Fragment,PS4,,
Ni no Kuni II: Revenant Kingdom,PC,8.5,6.8
The Curious Expedition,PC,,
Disney's Atlantis: The Lost Empire,GBA,6,
SCORE International Baja 1000: The Official Game,X360,,
Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,SAT,,
High Velocity: Mountain Racing Challenge,SAT,,
MX vs ATV All Out,PS4,,
Zero Escape: Zero Time Dilemma,3DS,7.7,8.2
Capcom vs. SNK 2: Millionaire Fighting 2001,DC,,
Assassin's Creed Chronicles,PSV,,
Guilty Gear Xrd -Revelator-,PC,,
Criticom,PS,3,
Farming Simulator 18,3DS,,
Charm Girls Club: My Fashion Mall,DS,,
Mega Man X: Command Mission,GC,7.2,
Puzzle Quest 2,DS,8.5,
Impossible Mission,DS,5.5,
Prototype 2,PC,7.6,6.4
MotoGP 14,PS3,,
PixelJunk Monsters Deluxe,PSP,8.7,
Dragon's Crown Pro,PS4,8,7.8
Worms 3D,PS2,7,
Eat Lead: The Return of Matt Hazard,X360,5.5,
Clock Tower: The First Fear,PS,,
Samurai Warriors 4-II,PS3,,
SingStar Vol. 3,PS3,,
Mobile Suit GUNDAM SEED BATTLE DESTINY,PSV,,
Snik,PC,,
"Kilari: Na-san, Mon Meilleur Ami",DS,,
Strikers 1945,PS,,
Ochaken no Heya DS,DS,,
Terraria,3DS,,
The Witcher Adventure Game,PC,6.8,6
Classic NES Series: Xevious,GBA,6.4,
Karaoke Revolution,X360,7.2,
Fire ProWrestling S: 6Men Scramble,SAT,,
Galidor: Defenders of the Outer Dimension,GBA,5.9,
Are You Smarter than a 5th Grader? Game Time,X360,4,
Batman: A Telltale Game Series,PS3,,
Pryzm Chapter One: The Dark Unicorn,PS2,6.3,
Circuits,PC,,
Gundam Battle Royale,PSP,,
Rocket League,PC,9.2,8.2
Rango: The Video Game,Wii,,
One Piece: Super Grand Battle! X,3DS,,
Survivor Squad,PC,,
Zenses: Rainforest,DS,,
Obscure: The Aftermath,Wii,7,
Zen-Nippon Pro Wrestling: Ouja no Kon,PS,,
NASCAR 2005: Chase for the Cup,GC,9,
Jikkyou Powerful Pro Yakyuu 2014,PSV,,
Jurassic Park: The Game,PC,5.5,4.6
Go! Sudoku,PSP,6.8,
"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 12: CR Shinseiki Evangelion - Shito, Futatabi",PS2,,
Guilty Gear X,PS2,8.8,
Venetica,PS3,5,
Neopets Petpet Adventures: The Wand of Wishing,PSP,,
Mobile Suit Gundam Side Story: Missing Link,PS3,,
DEADBOLT,PC,,
One Piece: Pirate Warriors 2,PSV,,
Conception II: Children of the Seven Stars,3DS,6.2,7.6
Reader Rabbit Kindergarten,Wii,,
Disney Sing It: Party Hits,PS3,,
NHL 2002,GBA,7.9,
Disney's PK: Out of the Shadows,PS2,,
Mugen no Frontier: Super Robot Taisen OG Saga EXCEED,DS,,
Echo Night,PS,6.3,
Wild ARMs 5 (jp sales),PS2,,
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,4.4,5.5
Linked,PC,,
Shantae: Half-Genie Hero,NS,8.2,7.6
Colony Wars III: Red Sun,PS,8.1,
Westerado: Double Barreled,PC,8,7.6
NCIS,PS3,,
Magic: The Gathering - Battlemage,PS,,
Oceanhorn: Monster of Uncharted Seas,PC,7.4,7.3
Backyard Baseball '09,DS,6,
Ice Age: Dawn of the Dinosaurs,X360,6.7,
Overstrike,PS3,,
Star Trek: Conquest,Wii,6.8,
Ben 10 Galactic Racing,Wii,,
Tom Clancy's Ghost Recon,Wii,,
Splice,PC,,
The King of Fighters '94,NG,,
8-Bit Armies,PC,6.9,7.3
DS Yamamura Misa Suspense: Maiko Kogiku - Kisha Katherine - Sougiya Isa Akashi - Koto ni Maru Hana Sanrin: Kyoto Satujin Jinken File,DS,,
All Kamen Rider: Rider Generation,DS,,
Hyperdimension Neptunia Re;Birth 3: V Generation,PC,,
Deponia Doomsday,PC,7.6,7
Taiko Drum Master: Tokumori!,WiiU,,
The King of Fighters '98 Ultimate Match,PS2,7.8,
Puzzle Quest: Challenge of the Warlords,PS2,7.8,
Guardian's Crusade,PS,8.5,
Major League Baseball 2K8 Fantasy All-Stars,DS,5.5,
Lemony Snicket's A Series of Unfortunate Events,XB,7.1,
Makai Kingdom: Chronicles of the Sacred Tome,PS2,7.9,
MotoGP 3 - Official Game of MotoGP,PS2,,
R.A.W. Realms of Ancient War,PC,,
Dead Age,PC,,
The Ant Bully,GC,5.5,
M&M's Kart Racing,DS,,
Dexodonex,PC,,
Bomberman Party Edition,PS,7.9,
Mechanic Escape,PC,,
Blackwater,X360,2.5,
Super Robot Wars V,PSV,,
Three Heroes,PC,,
Eyeshield 21: Max Devil Power,DS,,
Summon Night 3,PSP,,
O.D.T.: Escape... Or Die Trying,PS,,
Madden NFL 06,DS,6,
Epic Battle Fantasy 4,PC,,
Desktop Dungeons,PC,8.5,
Break 'Em All,DS,,
Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God,PSP,,
Mobile Suit Gundam Seed: Rengou vs. Z.A.F.T. Portable,PSP,,
Undead Knights,PSP,6.6,
Drawful 2,PC,,
San Goku Shi V,SAT,,
- Arcane Raise -,PC,,
The Voice,WiiU,,
Red Faction II,XB,7.9,
Daikaijyuu Monogatari II,SNES,,
Rock Band Track Pack Volume 2,PS2,,
Ninja Reflex,Wii,6,
Voodoo Vince,XB,7.6,
Overture,PC,,
SpongeBob's Surf & Skate Roadtrip,DS,,
Gundam Memories: Tatakai no Kioku,PSP,,
Kaijuu Busters,DS,,
Job Simulator,PS4,7.1,7
EA Replay,PSP,5,
Ferrari Challenge Trofeo Pirelli,PS2,6.6,
Megamind: Ultimate Showdown,X360,,
Virtua Fighter CG Portrait Series Vol.4: Pai Chan,SAT,,
Chase: Hollywood Stunt Driver,XB,4.9,
Dead by Daylight,XOne,5.8,6.2
The Smurfs 2,X360,,
Puzzle Cube,PC,,
Dance Paradise,X360,7,
Portal Knights,PS4,7.1,6.5
Darksiders III,XOne,6.9,7.3
The X Files: Resist or Serve,PS2,,
Horse Life,DS,7.6,
Legend of the Guardians: The Owls of Ga'Hoole,DS,,
Marvel Avengers: Battle for Earth,WiiU,5,5
Saru! Get You! Million Monkeys,PS2,,
Curious George,PS2,5.5,
Fire Pro Wrestling World,PS4,7.9,7.1
Conduit 2,Wii,6.3,
Fate/Extella Link,PS4,7.7,7.2
Zathura,PS2,,
Medarot DS: Kabuto / Kuwagata Ver.,DS,,
Vampyr,XOne,7,6.9
Batman: A Telltale Game Series,NS,,
Football Manager Classic 2014,PSV,5.8,7.4
Approaching Blocks,PC,,
The Walking Dead - The Telltale Series: A New Frontier,XOne,,
Kamen Rider: Climax Heroes OOO,PSP,,
"Snipperclips Plus: Cut It Out, Together!",NS,8.2,8.5
Ben and Ed,PC,,
Love Live! School Idol Paradise,PSV,,
Skulls of the Shogun,PC,,
Multimirror,PC,,
Injustice 2,PC,8.6,7.6
NASCAR Heat 2,XOne,,
Nascar Unleashed,X360,,
Cel Damage,XB,5.7,
Shrek: Forever After,X360,,
Lovely Lisa,DS,,
SSX 3,GBA,4.5,
Overlord: Raising Hell,PS3,6,
Deadliest Catch: Sea of Chaos,Wii,,
Yamakawa Shuppansha Kanshuu: Shousetsu Nihonshi B,DS,,
My Farm Around the World,DS,,
The God of War Trilogy,PS3,,
Tokyo New World Record: Operation Abyss,PSV,,
Geometry Wars: Galaxies,Wii,8,
Transformers: War for Cybertron -- Decepticons,DS,6.5,
Cabela's Dangerous Hunts 2011,DS,,
Life is Strange,XOne,,
Lunar: Dragon Song,DS,5.9,
Breakdown,XB,6.7,
Rush,PSP,5.2,
Ecco the Dolphin,GEN,,
Solitaire & Mahjong,Wii,,
Looney Tunes: Sheep Raider,PS,8,
"Sumikko Gurashi: Koko, Dokonan Desu?",3DS,,
SD Gundam G Generation Genesis,PSV,,
Dynasty Warriors 8: Xtreme Legends,PSV,,
Backyard Baseball '10,DS,,
Harvest Moon 2 GBC,GB,,
X2: Wolverine's Revenge,GC,6,
SkyDrift,PC,,
Godzilla Unleashed: Double Smash,DS,,
DiRT 2,DS,,
The Growth Journey,PC,,
Kamen Rider: Climax Heroes Fourze,Wii,,
Backyard Sports Football: Rookie Rush,Wii,,
Backyard Sports Football: Rookie Rush,X360,,
Pro Yakyuu Famista Evolution,NS,,
Happy Feet Two,PS3,,
Gallop Racer 2000,PS,,
Senran Kagura Shinovi Versus,PC,7,7.1
4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,DS,,
Showdown: Legends of Wrestling,XB,,
Macross Triangle Frontier,PSP,,
NPPL Championship Paintball 2009,X360,,
Picross 3D Round 2,3DS,8.6,
Pokemon Crystal Version,3DS,,
The Great Ace Attorney 2 - The Resolve of Ryuunosuke Naruhodou,3DS,,
Avadon: The Black Fortress,PC,7.5,7.7
PBR: Out of the Chute,Wii,3.4,
Street Hoops,GC,6.5,
DreamWorks Super Star Kartz,3DS,,
Atelier Annie: Alchemists of Sera Island,DS,,
Rush Bros.,PC,,
LEGO Batman 2: DC Super Heroes,WiiU,7.7,7.3
NBA 2K16,PC,,
Fatal Frame: Maiden of Black Water,WiiU,6.7,5.8
Greg Hastings Paintball 2,Wii,,
Cabela's North American Adventures,PSP,,
Densha De Go! 64,N64,5.1,
Dungeon Travelers 2: The Royal Library & The Monster Seal,PSV,,
Earthworm Jim 3D,N64,7.3,
NFL QB Club 2001,N64,5.8,
Rocket: Robot on Wheels,N64,8.3,
The Typing of the Dead,PC,8,
Jikkyou Powerful Pro Baseball 2018,PSV,,
WWE SmackDown vs Raw 2008,DS,,
Wolfenstein The Two Pack,XOne,,
Samurai Warriors 4: Empires,PS4,,
Deca Sports Extreme,3DS,,
College Hoops 2K6,X360,6.5,
Godzilla: Destroy All Monsters Melee,XB,8.5,
Office Battle,PC,,
The Snack World: Trejarers Gold,NS,,
The Surge,XOne,7.4,7.3
Sega Soccer Slam,PS2,,
Wipeout 2,PS3,,
Spider-Man: Edge of Time,3DS,5.5,6.2
Real Boxing,PC,,
Dora the Explorer: Dora Saves the Mermaids,PS2,,
Adventure Time: Finn & Jake Investigations,PS3,,
Attack on Titan / A.O.T. Wings of Freedom,PC,,
Petz Puppyz & Kittenz,DS,,
Tenchu: Shadow Assassins,PSP,7.5,
2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,GBA,,
Lost Planet 3,X360,6.2,
If My Heart Had Wings,PC,,
Mahou Shoujo Nanoha A's Portable: The Gears of Destiny,PSP,,
Academy of Champions: Soccer,Wii,7.1,
The Sky Crawlers: Innocent Aces,Wii,7.3,
Dodge Racing: Charger vs Challenger,Wii,,
Jaws: Ultimate Predator,3DS,4,
Fate/Extra CCC,PSP,,
Call of Cthulhu,PS4,6.3,7.2
Power Gig: Rise of the SixString,X360,3,
MTV Sports: Pure Ride,PS,7.7,
The Daring Game for Girls,DS,,
Burning Road,PS,6,
nail'd,PS3,,
Sonic Adventure 2,DC,8.9,
Danganronpa 1-2 Reload,PS4,8.3,8.1
Mountain Sports,Wii,,
IndyCar Series,PS2,8.5,
Slayers,SNES,,
Super Robot Wars OG Saga: Masou Kishin - The Lord of Elemental,DS,,
MAGI,PC,,
Guncraft,PC,6.4,
Puzzle Kingdoms,Wii,7,
8BitBoy,PC,,
Space Chimps,PS2,6.5,
Crash Superpack: Crash Bandicoot 2: N-Tranced / Crash Nitro Kart,GBA,,
Kidz Sports: Crazy Golf,Wii,,
Famicom Mini: TwinBee,GBA,,
Gladiator: Sword of Vengeance,PS2,8,
Dragon Ball Z: Battle of Z,PSV,6.6,7.5
Trials 2: Second Edition,PC,8,
Emily is Away Too,PC,,
Pinball Hall of Fame: The Williams Collection,X360,8.5,
Fernbus Simulator,PC,,
Monster Jam: Path of Destruction,X360,,
Ultimate Card Games,GBA,9.5,
Jikkyou Powerful Pro Yakyuu 8 Ketteiban,PS2,,
Wallace & Gromit: Curse of the Were-Rabbit,PS2,,
Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,XOne,,
Brunswick Pro Bowling,3DS,,
ESA Game Pack,PS3,,
The Bible Game,GBA,3.5,
N++,PC,,
NFL Head Coach,XB,7.2,
Rock Band: Metal Track Pack,PS3,,
Medarot 4: Kabuto / Kuwagata Version,GB,,
Pro Evolution Soccer 2016,XOne,8.5,6.1
Code: Realize - Guardian of Rebirth,PSV,,
Bleed,PC,,
Major League Baseball 2K6,PSP,7.4,
Hacker Evolution Duality,PC,,
Mahou Shoujo Lyrical Nanoha A's Portable: The Battle of Aces,PSP,,
Bloody Good Time,PC,5,
"Ed, Edd n Eddy: The Mis-Edventures",GBA,,
Onimusha: Blade Warriors,PS2,,
Skate City Heroes,Wii,,
Disney's Extreme Skate Adventure,GC,7.4,
Akuji the Heartless,PS,6.7,
NBA 2K2,GC,8.8,
Psychonauts,XB,8.8,
Subnautica,PS4,8,7.6
Out of Reach,PC,,
Shufflepuck Cantina Deluxe,PC,,
Jeremy McGrath Supercross World,GC,2.7,
SimAnimals Africa,Wii,5.5,
God Eater 2: Rage Burst,PS4,6.9,7.5
Uta no * Prince-Sama: All Star,PSP,,
HardBall 5,PS,4,
Airborne Troops: Countdown to D-Day,PS2,3.5,
Disney Princess: Enchanting Storybooks,DS,,
MLB Inside Pitch 2003,XB,,
Pro Evolution Soccer 2018,XOne,8.2,6.4
Midnight Mysteries: The Edgar Allan Poe Conspiracy,DS,,
BlazBlue: Central Fiction,PS3,,
Lost Magic,DS,6.5,
Defend Your Life,PC,,
Battle Arena Toshinden Remix,SAT,,
Dragon Ball: Origins,DS,8.2,
Legends of Wrestling II,GC,,
A.C.E.: Another Century's Episode Portable,PSP,,
7 Days to Die,XOne,3.5,5.4
Rubik's World,DS,7,
Jikkyou Powerful Pro Yakyuu 9,GC,,
The Price is Right: Decades,Wii,,
Raiden IV,X360,7,
Dead Island: Riptide,PC,6.2,6
Swiftly,PC,,
Payday 2,NS,5,5.1
Cruis'n,Wii,3,
Fate/hollow ataraxia,PSV,,
Barbie as The Island Princess,PS2,4,
Petz Fantasy: Moonlight Magic,DS,,
Phantasy Star Universe,X360,6.6,
Battles of Prince of Persia,DS,5.6,
MX vs. ATV Untamed,DS,7,
Crime Killer,PS,,
America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,PS4,,
BlazBlue: Continuum Shift EXTEND,PSV,,
FIFA Football,PSV,,
Backyard Wrestling 2: There Goes the Neighborhood,XB,5.6,
Sudden Strike 4,PC,7,7.4
Anodyne,PC,7.5,6.6
DreamWorks Super Star Kartz,PS3,,
Peggle: Dual Shot,DS,8.6,
USA Today Crossword Challenge,DS,,
Marvel's Guardians of the Galaxy: The Telltale Series,PS4,,
NPPL Championship Paintball 2009,Wii,,
Bishoujo Senshi Sailormoon S: Juugai Rantou!? Shuyaku Soudatsusen,SNES,,
SD Gundam G Generation-F.I.F,PS,,
After Hours Athletes,PS3,,
Akiba's Trip: Undead & Undressed,PC,,
Akin,PC,,
Ultimate Puzzle Games: Sudoku Edition,DS,7,
The Clique: Diss and Make Up,DS,,
The chronicles of Emerland. Solitaire.,PC,,
Prince of Persia: Rival Swords,PSP,7,8.1
BlazBlue: Continuum Shift EXTEND,PC,,
Harukanaru Augusta 2: Masters,SNES,,
Rocksmith,PC,,
Castlevania: Curse of Darkness,XB,7.2,
BADLAND: Game of the Year Edition,PC,,
Charm Girls Club: My Perfect Prom,DS,,
Marvel Trading Card Game,DS,,
Mobil 1 Rally Championship,PS,3,
Onechanbara: Bikini Zombie Slayers,Wii,6.9,
Lost in Shadow,Wii,6.7,
The Walking Dead: Survival Instinct,WiiU,,
King of Colosseum (Red): Shin Nippon x Zen Nippon x Pancrase Disc,PS2,,
Turok: Evolution,GBA,8,
Trucks & Trailers,PC,,
Zombie Army Trilogy,XOne,6.2,6.9
Cabela's North American Adventures,PS3,,
Rugrats: Totally Angelica,PS,,
Nightshade,PS2,7,
Heaven Forest NIGHTS,PC,,
Puss in Boots,DS,,
CSI: Crime Scene Investigation,XB,5.8,
The Cat Lady,PC,8.1,8.7
Call of Juarez: The Cartel,PC,4.5,3.4
Buffy the Vampire Slayer: Chaos Bleeds,XB,7.7,
Rango: The Video Game,DS,,
Hanagumi Taisen Columns,SAT,,
Tales of Destiny 2,PSP,,
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,GC,,
Power Pro Kun Pocket 14,DS,,
Self-Defense Training Camp,X360,1,
NFL Tour,PS3,4.5,
Heavy Bullets,PC,7.2,7.6
UN Squadron,SNES,,
2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe,X360,,
Alice: Madness Returns,PC,6.7,8.4
Tecmo Super Bowl,PS,,
MIND?0,PSV,,
MLB 14 The Show,PSV,7.1,
Dora the Explorer: Journey to the Purple Planet,GC,,
My Chinese Coach,DS,5,
Lunar 2: Eternal Blue,SAT,,
NHL Powerplay '96,PS,,
Thousand Arms,PS,8.5,8
Where the Wild Things Are,Wii,4.7,
Arctic Thunder,XB,6,
One Piece: Burning Blood,PSV,,
Barnyard,GC,6.7,
Stolen Song,PS,,
Armored Core: Verdict Day,PS3,7.6,
Nintendo Pocket Football Club,3DS,7,7.4
Major League Baseball 2K12,PSP,,
Shark Attack Deathmatch 2,PC,,
Minute to Win It,DS,,
Yattaman DS: BikkuriDokkiri Daisakusen da Koron,DS,,
Harvey Birdman: Attorney at Law,PS2,,
DEATH NOTE: Kira Game,DS,,
Sengoku Cyber: Fujimaru Jigokuhen,PS,,
ASH: Archaic Sealed Heat,DS,,
Funky Barn,3DS,,
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol.10: CR Shinseiki Evangelion: Kiseki no Kachi,PS2,,
Dorabase 2: Nettou Ultra Stadium,DS,,
Blood Drive,X360,5.5,
Center Ring Boxing,SAT,,
NHL 2K3,XB,8.9,
Family Game Night 4: The Game Show,PS3,,
Brother Wings,PC,,
Die Hard: Vendetta,GC,,
The Price is Right: Decades,X360,,
F1 2002,PS2,7.6,
FIFA Soccer,PSP,7.8,
Karaoke Revolution Presents American Idol Encore 2,PS3,5.5,
Vacation Isle: Beach Party,Wii,,
Party Planet,NS,,
SingStar Latino,PS3,,
Sphinx and the Cursed Mummy,XB,8.5,
GT Advance 2: Rally Racing,GBA,7.6,
Yakuza 1&2 HD EDITION,PS3,,
DOA 2: Dead or Alive 2 Hardcore,PS2,,
Legend of the Guardians: The Owls of Ga'Hoole,Wii,,
Puyo Puyo Tetris,3DS,,
Transformer: Rise of the Dark Spark,PS3,,
Merv Griffin's Crosswords,Wii,,
Cabela's Deer Hunt 2005 Season,XB,,
Tom Clancy's EndWar,PSP,6.7,
Darkspore,PC,6.6,6
SplashDown,XB,,
Late Shift,PC,,
Nobunaga no Yabou: Tenshoki,SAT,,
F1 Racing Championship,PS,7.5,
Tecmo Bowl: Kickoff,DS,7.7,
Dead Man's Hand,XB,6,
Smash Cars,PS2,,
Zen Bound 2,PC,7.5,
Squirbs,PC,,
Sword Art Online: Hollow Realization,PC,,
Dungeons & Dragons: Daggerdale,PC,4.9,3.6
Garden Rescue: Christmas Edition,PC,,
NASCAR 07,PS2,7.5,
Zubo,DS,7.5,
The Lord of the Rings: Aragorn's Quest,DS,5,
Animal Genius,DS,6.5,
Digimon Story: Cyber Sleuth,PS4,,7.7
Jikkyou Powerful Pro Yakyuu 12 Ketteiban,PS2,,
Yogi Bear: The Video Game,Wii,,
Melty Blood: Act Cadenza,PS2,,
Dokapon Kingdom,PS2,8,
